"date","code","site","o3","o3_normalised"
2020-06-21,"GB6","Greenwich - Falconwood",18.1842340823155,18.9315811839531
2020-06-22,"GB6","Greenwich - Falconwood",19.8902792285459,18.994353221707
2020-06-23,"GB6","Greenwich - Falconwood",18.9795728255716,18.837496463489
2020-06-24,"GB6","Greenwich - Falconwood",27.6545600176131,18.8052117281245
2020-06-25,"GB6","Greenwich - Falconwood",29.9290461853653,18.7668199117883
2020-06-26,"GB6","Greenwich - Falconwood",24.6741202361593,18.7719857901266
2020-06-27,"GB6","Greenwich - Falconwood",19.5226086197323,18.8776698061326
2020-06-28,"GB6","Greenwich - Falconwood",21.5391240594316,18.4353450110332
2020-06-29,"GB6","Greenwich - Falconwood",21.4398233952891,18.3717789441353
2020-06-30,"GB6","Greenwich - Falconwood",13.7539481923166,18.5210099329022
2020-07-01,"GB6","Greenwich - Falconwood",12.3859877432085,18.2335537427848
2020-07-02,"GB6","Greenwich - Falconwood",12.4711236644323,18.4344336197351
2020-07-03,"GB6","Greenwich - Falconwood",15.7915779931401,18.5220906496544
2020-07-04,"GB6","Greenwich - Falconwood",12.6731876266545,18.4117985272499
2020-07-05,"GB6","Greenwich - Falconwood",14.3118614026835,18.3022757032789
2020-07-06,"GB6","Greenwich - Falconwood",16.073516757515,17.8406227278165
2020-07-07,"GB6","Greenwich - Falconwood",16.4441273309422,17.9187910846236
2020-07-08,"GB6","Greenwich - Falconwood",5.89250930005997,18.1243515992761
2020-07-09,"GB6","Greenwich - Falconwood",5.92422822895186,18.0092515422269
2020-07-10,"GB6","Greenwich - Falconwood",12.5068644407369,17.8337075166533
2020-07-11,"GB6","Greenwich - Falconwood",13.2358284798864,18.2342539031783
2020-07-12,"GB6","Greenwich - Falconwood",19.1858991028234,17.9176120740621
2020-07-13,"GB6","Greenwich - Falconwood",19.8136377073591,18.1256837222182
2020-07-14,"GB6","Greenwich - Falconwood",12.063825336582,18.3132831153779
2020-07-15,"GB6","Greenwich - Falconwood",10.4878290496406,18.2012745874328
2020-07-16,"GB6","Greenwich - Falconwood",8.81284845201537,18.2907415720692
2020-07-17,"GB6","Greenwich - Falconwood",10.4505285643456,18.2822453644654
2020-07-18,"GB6","Greenwich - Falconwood",11.4158421753276,18.0101935707033
2020-07-19,"GB6","Greenwich - Falconwood",11.9624656170376,17.8094953149372
2020-07-20,"GB6","Greenwich - Falconwood",14.7356045331885,18.0730516933651
2020-07-21,"GB6","Greenwich - Falconwood",15.8221915748376,18.1579298025647
2020-07-22,"GB6","Greenwich - Falconwood",26.7577506298091,18.7841396523955
2020-07-23,"GB6","Greenwich - Falconwood",24.9247637736016,18.3898853636678
2020-07-24,"GB6","Greenwich - Falconwood",13.9724344723224,18.2028836714758
2020-07-25,"GB6","Greenwich - Falconwood",11.4950483341219,18.4229957308754
2020-07-26,"GB6","Greenwich - Falconwood",10.7237449996919,18.5721903537349
